vibration,temperature,flow_rate,pressure,power_consumption,Impeller Type
5.496714153,65.15297294,378.0920356,7.200356604,6.517712914,Open 
4.861735699,54.22322616,295.2885844,11.09564552,4.92595086,Open 
13.53544295,73.16823113,233.5232201,9.758475363,6.338337928,Open 
6.523029856,56.90380771,230.5680934,9.433472488,5.25751959,Open 
4.765846625,58.36298597,282.8674609,11.53513843,4.968129456,Open 
4.765863043,60.23802133,220.9740114,9.130662549,5.07866321,Open 
6.579212816,59.40254474,329.3574034,10.91546639,5.076175364,Open 
5.767434729,51.61947179,309.9086249,9.015449625,5.310261533,Open 
4.530525614,66.90906011,302.4759601,10.50055776,4.349796815,Open 
5.542560044,65.67204609,269.0318649,8.411987181,5.530824584,Open 
4.536582307,59.26841753,252.755119,9.311348138,4.605936708,Open 
4.534270246,64.67199313,253.365263,11.83421502,4.400445124,Open 
5.241962272,58.01152419,308.8418139,10.828,4.08358334,closed
3.086719755,55.08901278,310.1859193,10.93547724,5.438627436,closed
3.275082167,60.27206507,282.4906934,13.0507443,5.084230828,closed
4.437712471,54.15548571,231.8921534,9.801894335,5.162447607,closed
3.98716888,63.04525312,337.373227,7.292872329,4.904285153,closed
5.314247333,56.48718625,275.102049,13.06308119,4.963291382,closed
4.091975924,51.9998456,306.2604977,8.929786494,4.348451185,closed
3.587696299,41.86396152,319.1194412,11.49759527,5.293311957,closed
6.465648769,59.36471841,306.2426337,10.34921712,4.805698665,closed
4.7742237,61.60351245,280.0351093,7.548164582,4.721964823,closed
5.067528205,66.68868189,335.9986531,9.154540887,5.01261121,closed
3.575251814,51.32494718,331.7995715,8.236037249,5.152269869,Open 
4.455617275,65.04599407,312.1173568,8.347231053,4.366950172,closed
5.11092259,57.56420405,291.270158,10.86217674,4.132670932,closed
3.849006423,59.69178373,337.2452714,9.958909321,4.860745625,closed
5.375698018,60.02889789,265.0250493,9.218609432,4.786568875,closed
4.39936131,59.9479918,317.434116,7.549870935,4.259069012,closed
4.70830625,49.83499169,320.8895225,12.92917138,5.130770073,closed
4.398293388,63.57920504,345.8664434,10.4209596,5.431104807,closed
6.852278185,64.17260379,325.6021813,10.23528001,4.53351596,closed
4.986502775,64.78338657,284.114269,11.1665599,4.973379678,closed
3.942289071,62.4373806,358.6419586,7.313548946,5.460058772,closed
5.822544912,58.96439596,342.2867643,6.937429855,5.114483478,closed
3.77915635,52.65992743,238.799013,9.314177573,5.416039893,closed
5.208863595,62.24267497,326.2102707,10.20784438,4.926111997,Open 
15.13620516,,316.2386858,9.30442461,7.481916437,Open 
3.671813951,,355.5354395,5.899257527,5.845666746,Open 
5.196861236,,353.4068415,9.875452464,4.041629869,Open 
5.73846658,59.77444,305.1536222,11.15350638,4.638775685,Open 
5.171368281,57.77990901,263.9029982,7.219140316,4.46887197,Open 
4.884351718,54.10014312,284.4288131,12.0854627,4.688872837,Open 
4.698896304,59.97072857,322.0147315,8.337197189,5.016211813,Open 
3.52147801,67.36684504,308.3303822,10.59359004,4.172021255,Open 
15.51489552,73.17144299,327.1156631,11.86938824,6.120182548,Open 
4.539361229,65.01564626,350.1615761,8.083693025,4.992501641,Open 
19.06270192,82.43724895,312.3488995,7.916549684,7.24471339,Open 
5.34361829,51.43946751,296.7429723,10.1318526,4.975200445,Open 
3.236959845,63.04260218,267.4594535,13.73375104,4.862494627,Open 
5.324083969,60.09066113,167.120773,6.45079437,4.83125045,
4.61491772,59.58273827,284.8815751,10.16382652,5.529759192,
4.323078,69.98107262,300.3847093,8.165031718,3.608066792,Open 
5.611676289,64.70661388,254.3479132,11.32354398,5.222930588,Open 
6.030999522,55.35937488,333.5794947,5.977325328,5.132435204,Open 
5.931280119,63.1986837,263.8337386,14.19837468,4.526061939,Open 
4.160782477,55.41577498,298.3213898,11.84476568,4.509106618,Open 
4.690787624,55.62626218,282.1480916,8.08335881,5.356819976,Open 
5.331263431,60.80203195,382.8198503,10.25427631,5.658690643,Open 
5.975545127,150,376.6629386,8.907054847,5.559349503,Open 
4.520825762,52.56368101,332.4564691,9.768618321,4.623681572,Open 
17.34736038,70.80243099,,10.98693892,7.573219796,Open 
3.893665026,65.87917031,,7.494986715,5.633888163,Open 
3.803793376,55.29584845,,11.93549499,4.255169347,closed
5.812525822,60.15700821,345.7329444,10.24682826,5.142065631,closed
6.356240029,58.44670338,336.5704843,7.975319316,4.873416895,closed
4.927989878,66.38268669,333.9616314,10.50935738,4.457736314,closed
6.003532898,61.59422205,315.4176679,9.848742193,4.754118659,closed
5.361636025,58.50641263,324.337995,9.226861717,5.06035627,closed
4.354880245,55.81699146,344.9019071,10.78698508,5.088505912,closed
5.361395606,70.52535788,417.499137,9.511410852,5.03809609,closed
6.538036566,59.62120611,351.0999289,11.65128895,5.318523802,closed
4.964173961,58.86855909,234.8728184,5.916669568,4.721388441,closed
6.564643656,62.49681448,295.631459,8.754498481,4.358839997,closed
2.380254896,63.59433263,271.2509156,8.80059891,5.095340427,closed
5.821902504,52.99956942,299.3939311,8.275415152,5.075807275,closed
5.087047068,59.04999355,294.1700336,11.51509343,5.017660097,closed
4.70099265,54.63829389,292.5313754,8.875843531,5.223905057,closed
14.74049157,68.31650185,324.5464233,11.60594625,5.987604147,closed
3.012431085,66.36744992,296.8851942,11.13681992,5.587809094,closed
4.780328112,65.76711278,340.957984,10.02670629,5.459293863,closed
5.357112572,62.9440508,284.2293787,8.953433419,5.122695913,closed
6.477894045,52.97382679,258.3958785,10.52382833,4.72144145,closed
4.481729782,60.93351103,296.8700235,10.54890596,5.132800161,closed
4.191506397,57.12199902,273.8375509,12.48828956,5.220769501,closed
4.498242956,64.95956604,350.4482424,9.580284273,4.412683485,closed
5.915402118,57.1831302,337.8026534,11.34074634,5.109817783,closed
5.32875111,55.85985129,358.6833596,10.10519629,4.412509934,closed
4.470239796,61.80335257,251.5430687,9.324899504,6.063958416,closed
5.513267433,66.06751975,220.7628788,12.83609974,5.367742534,closed
5.097077549,65.33968947,386.5623188,10.96090403,5.367769889,closed
5.968644991,66.4963405,242.8410739,8.993206891,5.209765208,closed
4.297946906,66.54229511,340.1893497,9.960631663,4.333919234,closed
4.672337853,68.16335354,334.0057862,11.4605609,5.044048575,closed
4.607891847,60.9031262,301.3405045,10.44884,4.023003463,closed
3.536485052,57.77685306,288.2761412,8.697160469,4.847965578,closed
5.296120277,55.87249194,250.8954479,9.319111667,4.569964492,closed
5.261055272,65.97345093,359.5131421,11.84169564,5.026645348,closed
5.005113457,59.13741958,336.8235332,8.799925364,4.769082103,closed
4.765412867,55.45056279,435.0185694,11.44514831,5.770382679,closed
3.584629258,62.61309234,294.6875473,8.247876665,4.144298461,closed
4.579354677,52.76304409,297.3601861,8.856667967,4.222378778,closed
4.657285483,54.59966865,242.8556089,13.71187559,5.63445914,closed
4.197722731,61.08661227,333.155194,9.719145162,5.145226705,closed
4.838714288,64.41013497,190.5629584,10.66482168,5.688882114,closed
5.404050857,58.34536963,211.8500348,5.449225249,4.579207063,closed
